S,D,M,S2,S3,D2,D3,genespace,nongenspace,gene,nongenic,DnDs,Dn,Ds,duO,duEst,RNS,mu_g_obs,mu_ref,gene_exp,ns_exp_mu,s_exp_mu,nc_exp_mu,dmu_ns,dmu_s,dmu_nc,duO_reduction,duEst_reduction,dmu_ns_reduction,dmu_s_reduction,dmu_nc_reduction,chi_DnDs,DnDs_p,gene_rate,ref_rate
1,0,0.625,0,0,0,0,4000,4000,4453,7534,1.69065343258892,2044,1209,0.591053889036369,0.640695513671357,0.0496416246349881,1.11325,1.8835,7534,3767,1883.5,1883.5,0.54260684895142,0.641890098221396,0.637111760021237,0.408946110963632,0.359304486328643,0.45739315104858,0.358109901778604,0.362888239978763,3.53913754285864e-06,5.45110255888162,6.18472222222222,10.4638888888889
1,0,0.8125,0,0,0,0,4000,4000,5744,7393,1.87381916329285,2777,1482,0.7769511700257,0.80224536723928,0.0252941972135804,1.436,1.84825,7393,3696.5,1848.25,1848.25,0.751251183552009,0.801839577979169,0.803462735019613,0.2230488299743,0.19775463276072,0.248748816447991,0.198160422020831,0.196537264980387,0.042748844600404,1.36907561872411,7.97777777777778,10.2680555555556
1,0,1,0,0,0,0,4000,4000,6903,7255,1.83470620538166,3341,1821,0.951481736733287,0.992970365265334,0.0414886285320469,1.72575,1.81375,7255,3627.5,1813.75,1813.75,0.921019986216402,1.0039972432805,0.959889731219848,0.0485182632667126,0.00702963473466578,0.0789800137835975,-0.00399724328049622,0.0401102687801517,0.00305259070933698,2.51533142190259,9.5875,10.0763888888889
0,1,0.25,0,0,1,0,4000,4000,1847,7453,1.97577092511013,897,454,0.247819669931571,0.2492955856702,0.00147591573862874,0.46175,1.86325,7453,3726.5,1863.25,1863.25,0.240708439554542,0.243660271031799,0.266201529585402,0.752180330068429,0.7507044143298,0.759291560445458,0.756339728968201,0.733798470414598,0.832406051080646,0.0796647713948385,2.56527777777778,10.3513888888889
0,1,0.4375,0,0,1,0,4000,4000,3286,7554,2.08219178082192,1672,803,0.435001323801959,0.426264230871062,-0.00873709293089754,0.8215,1.8885,7554,3777,1888.5,1888.5,0.442679375165475,0.42520518930368,0.429441355573206,0.564998676198041,0.573735769128938,0.557320624834525,0.57479481069632,0.570558644426794,0.348201679413126,0.458169138565917,4.56388888888889,10.4916666666667
0,1,0.625,0,0,1,0,4000,4000,4715,7377,1.94514767932489,2305,1185,0.639148705435814,0.647959875288058,0.00881116985224346,1.17875,1.84425,7377,3688.5,1844.25,1844.25,0.624915277212959,0.642537616917446,0.664226650399892,0.360851294564186,0.352040124711942,0.375084722787041,0.357462383082554,0.335773349600108,0.436562625623242,0.359953447235134,6.54861111111111,10.2458333333333
0,1,0.8125,0,0,1,0,4000,4000,5981,7411,2.02319236016371,2966,1466,0.807043583861827,0.802455808932668,-0.00458777492915936,1.49525,1.85275,7411,3705.5,1852.75,1852.75,0.800431790581568,0.791256240723249,0.836054513560923,0.192956416138173,0.197544191067332,0.199568209418432,0.208743759276751,0.163945486439077,0.718001972092867,0.143874362905508,8.30694444444444,10.2930555555556
0,1,1,0,0,1,0,4000,4000,7454,7409,1.93595800524934,3688,1905,1.00607369415576,1.02254015386692,0.0164664597111621,1.8635,1.85225,7409,3704.5,1852.25,1852.25,0.995545957619112,1.02847887704144,1.00472398434337,-0.00607369415575643,-0.0225401538669185,0.00445404238088809,-0.0284788770414361,-0.00472398434336618,0.248699961257478,0.604324282384527,10.3527777777778,10.2902777777778
0.001,1,0.25,0,0,1,0,4000,4000,1857,7442,2.00643776824034,935,466,0.249529696318194,0.249126578876646,-0.000403117441547971,0.46425,1.8605,7442,3721,1860.5,1860.5,0.251276538564902,0.250470303681806,0.245095404461166,0.750470303681806,0.750873421123354,0.748723461435098,0.749529696318194,0.754904595538834,0.954804540227964,0.0200855245299006,2.57916666666667,10.3361111111111
0.001,1,0.4375,0,0,1,0,4000,4000,3159,7284,2.02272727272727,1602,792,0.433690280065898,0.431219110378913,-0.00247116968698517,0.78975,1.821,7284,3642,1821,1821,0.439868204283361,0.43492586490939,0.420098846787479,0.566309719934102,0.568780889621087,0.560131795716639,0.56507413509061,0.579901153212521,0.794761190646548,0.0997633482803445,4.3875,10.1166666666667
